Leading_Protein	Protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Peptide counts (distinct)	Number of proteins	Peptides	Peptide IDs	peptide_is_razor	peptide_is_unique	peptide_Ids_each_protein
tr|E9PK01|E9PK01_HUMAN	tr|E9PK01|E9PK01_HUMAN;sp|P29692|EF1D_HUMAN;tr|E9PRY8|E9PRY8_HUMAN;sp|P29692-3|EF1D_HUMAN;sp|P29692-2|EF1D_HUMAN;tr|E9PQ49|E9PQ49_HUMAN;tr|E9PI39|E9PI39_HUMAN;tr|E9PQZ1|E9PQZ1_HUMAN;tr|E9PPR1|E9PPR1_HUMAN;tr|E9PL71|E9PL71_HUMAN;tr|E9PL12|E9PL12_HUMAN;sp|P29692-4|EF1D_HUMAN;tr|E9PMW7|E9PMW7_HUMAN;tr|H0YCK7|H0YCK7_HUMAN;tr|E9PN91|E9PN91_HUMAN;tr|E9PIZ1|E9PIZ1_HUMAN;tr|E9PK06|E9PK06_HUMAN;tr|H0YE72|H0YE72_HUMAN;tr|H0YE58|H0YE58_HUMAN;tr|E9PKK3|E9PKK3_HUMAN;tr|E9PK72|E9PK72_HUMAN;tr|E9PNW6|E9PNW6_HUMAN;tr|E9PJD0|E9PJD0_HUMAN;tr|E9PQC9|E9PQC9_HUMAN	10;10;9;9;9;8;8;7;7;7;7;7;6;5;5;5;4;3;3;3;3;2;2;1	10;10;9;9;9;8;8;7;7;7;7;7;6;5;5;5;4;3;3;3;3;2;2;1	9;9;8;8;8;7;7;6;7;6;7;6;6;5;5;5;4;2;2;3;3;2;2;1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	24	10	1670;1735;5825;7109;7947;9956;16303;16368;16838;20462	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE	1670;1735;5825;7109;7947;9956;16303;16368;16838;20462/1670;1735;5825;7109;7947;9956;16303;16368;16838;20462/1670;5825;7109;7947;9956;16303;16368;16838;20462/1670;1735;5825;7109;7947;9956;16303;16838;20462/1670;5825;7109;7947;9956;16303;16368;16838;20462/1670;1735;5825;7109;7947;9956;16368;20462/1670;1735;5825;7109;7947;9956;16368;20462/1670;1735;5825;9956;16303;16838;20462/1670;1735;5825;7109;7947;16368;20462/1670;1735;5825;7109;7947;9956;20462/1670;1735;5825;7109;7947;16368;20462/1670;1735;5825;9956;16303;16838;20462/1735;5825;7109;7947;16368;20462/5825;7109;7947;16368;20462/1735;5825;7109;7947;20462/5825;7109;7947;16368;20462/1670;1735;5825;20462/9956;16303;16838/9956;16303;16838/1735;5825;20462/1735;5825;20462/1735;20462/1735;20462/16303
tr|E9PDR0|E9PDR0_HUMAN	tr|E9PDR0|E9PDR0_HUMAN;tr|E7EX59|E7EX59_HUMAN;tr|E7EUY3|E7EUY3_HUMAN;tr|E7ETT1|E7ETT1_HUMAN;sp|P05166|PCCB_HUMAN;sp|P05166-2|PCCB_HUMAN;tr|F8WBI9|F8WBI9_HUMAN;tr|E9PEC3|E9PEC3_HUMAN;tr|E7ETT4|E7ETT4_HUMAN;tr|C9JQS9|C9JQS9_HUMAN;tr|E7ENC1|E7ENC1_HUMAN;tr|H7C5C9|H7C5C9_HUMAN;tr|C9JVY9|C9JVY9_HUMAN;tr|C9JVW9|C9JVW9_HUMAN	10;10;10;10;10;10;9;9;9;9;6;2;1;1	10;10;10;10;10;10;9;9;9;9;6;2;1;1	10;10;10;10;10;10;9;9;9;9;6;2;1;1	0;0;0;0;0;0;0;0;0;0;0;0;0;0	14	10	508;1990;2470;4996;8851;8985;12560;17050;17577;18548	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	508;1990;2470;4996;8851;8985;12560;17050;17577;18548/508;1990;2470;4996;8851;8985;12560;17050;17577;18548/508;1990;2470;4996;8851;8985;12560;17050;17577;18548/508;1990;2470;4996;8851;8985;12560;17050;17577;18548/508;1990;2470;4996;8851;8985;12560;17050;17577;18548/508;1990;2470;4996;8851;8985;12560;17050;17577;18548/508;1990;2470;8851;8985;12560;17050;17577;18548/508;1990;2470;4996;8851;12560;17050;17577;18548/508;1990;2470;4996;8985;12560;17050;17577;18548/508;1990;2470;4996;8851;8985;12560;17050;17577/508;2470;8851;8985;17050;17577/8851;8985/8985/8851
tr|E7EWT1|E7EWT1_HUMAN	tr|E7EWT1|E7EWT1_HUMAN;sp|P39656|OST48_HUMAN;tr|U3KQ84|U3KQ84_HUMAN	10;10;5	10;10;5	10;10;5	0;0;0	3	10	4199;4704;7037;11878;14191;16844;17229;17878;18992;20380	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	4199;4704;7037;11878;14191;16844;17229;17878;18992;20380/4199;4704;7037;11878;14191;16844;17229;17878;18992;20380/4199;4704;16844;17229;17878
tr|C9JIF9|C9JIF9_HUMAN	tr|C9JIF9|C9JIF9_HUMAN;sp|P13798|ACPH_HUMAN;tr|H7C393|H7C393_HUMAN;tr|H7C1U0|H7C1U0_HUMAN;tr|C9JLK2|C9JLK2_HUMAN;tr|F8WEH5|F8WEH5_HUMAN	10;10;8;5;4;1	10;10;8;5;4;1	10;10;8;5;4;1	0;0;0;0;0;0	6	10	4643;9326;14709;15262;15310;15780;16061;17994;18290;18952	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	4643;9326;14709;15262;15310;15780;16061;17994;18290;18952/4643;9326;14709;15262;15310;15780;16061;17994;18290;18952/4643;9326;14709;15262;15310;15780;16061;18290/4643;9326;14709;15780;16061/9326;14709;15780;16061/15262
tr|B7ZC38|B7ZC38_HUMAN	tr|B7ZC38|B7ZC38_HUMAN;sp|Q9NR46|SHLB2_HUMAN;sp|Q9NR46-2|SHLB2_HUMAN;tr|B7ZC39|B7ZC39_HUMAN;tr|F8WFB9|F8WFB9_HUMAN	10;10;9;8;1	10;10;9;8;1	9;9;8;7;0	0;0;0;0;0	5	10	1761;1901;2139;2477;7574;11560;13619;14331;16773;19957	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	1761;1901;2139;2477;7574;11560;13619;14331;16773;19957/1761;1901;2139;2477;7574;11560;13619;14331;16773;19957/1901;2139;2477;7574;11560;13619;14331;16773;19957/1901;2139;2477;7574;11560;13619;16773;19957/1901
tr|B4DUT8|B4DUT8_HUMAN	tr|B4DUT8|B4DUT8_HUMAN;tr|B4DDF4|B4DDF4_HUMAN;sp|Q99439|CNN2_HUMAN;sp|Q99439-2|CNN2_HUMAN;tr|H3BVI6|H3BVI6_HUMAN;tr|K7ES69|K7ES69_HUMAN;tr|H3BQH0|H3BQH0_HUMAN;tr|U3KPS3|U3KPS3_HUMAN	10;10;10;8;6;5;3;2	10;10;10;8;6;5;3;2	10;10;10;8;6;5;3;2	0;0;0;0;0;0;0;0	8	10	674;2021;2022;2575;13593;13701;16586;16874;18369;20487	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	674;2021;2022;2575;13593;13701;16586;16874;18369;20487/674;2021;2022;2575;13593;13701;16586;16874;18369;20487/674;2021;2022;2575;13593;13701;16586;16874;18369;20487/2021;2022;2575;13701;16586;16874;18369;20487/674;2021;2575;13593;13701;16586/2575;16586;16874;18369;20487/2021;13701;16586/2021;13701
tr|B3KSH1|B3KSH1_HUMAN	tr|B3KSH1|B3KSH1_HUMAN;sp|O00303|EIF3F_HUMAN;tr|B4DEW9|B4DEW9_HUMAN;tr|H0YDT6|H0YDT6_HUMAN;tr|E9PQV8|E9PQV8_HUMAN	10;10;8;2;1	10;10;8;2;1	10;10;8;2;1	0;0;0;0;0	5	10	2005;5428;8311;10218;11149;13968;17896;19120;19125;19840	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	2005;5428;8311;10218;11149;13968;17896;19120;19125;19840/2005;5428;8311;10218;11149;13968;17896;19120;19125;19840/2005;5428;8311;10218;13968;17896;19120;19840/5428;19120/11149
sp|Q9Y6K5|OAS3_HUMAN	sp|Q9Y6K5|OAS3_HUMAN;tr|F8VWK9|F8VWK9_HUMAN;tr|F8VS35|F8VS35_HUMAN	10;3;3	10;3;3	10;3;3	7;0;0	3	10	250;597;1020;1590;2140;3344;6229;11681;13021;16489	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	250;597;1020;1590;2140;3344;6229;11681;13021;16489/1020;1590;6229/1020;1590;6229
sp|Q9Y6C9|MTCH2_HUMAN	sp|Q9Y6C9|MTCH2_HUMAN;tr|E9PIE4|E9PIE4_HUMAN;tr|F5H3Y2|F5H3Y2_HUMAN	10;8;1	10;8;1	10;8;1	1;0;0	3	10	268;4857;6552;6699;10532;15230;15427;15721;19344;19408	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	268;4857;6552;6699;10532;15230;15427;15721;19344;19408/268;4857;6552;10532;15230;15427;15721;19344/6699
sp|Q9Y2X3|NOP58_HUMAN	sp|Q9Y2X3|NOP58_HUMAN;tr|H7BZ72|H7BZ72_HUMAN	10;4	10;4	10;4	6;0	2	10	3424;4353;7202;8439;9702;11174;11817;12170;18067;18380	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE	3424;4353;7202;8439;9702;11174;11817;12170;18067;18380/4353;8439;12170;18067
